,productgroup,ingredient,strength,dosage,route,mdrunittype,weightedaverageamps,acaful,packagesize,ndc,arated,multipliergreaterthan175percento,year,month
23,3230,OLANZAPINE  ,15MG  ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,2.644732,4.628280999999999,30.0,2445585,Yes,N,2017,2
24,3233,OLANZAPINE  ,20MG  ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,3.6066910000000005,6.311709,30.0,2445601,Yes,N,2017,2
25,3233,OLANZAPINE  ,20MG  ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,3.6066910000000005,6.311709,30.0,2445685,Yes,N,2017,2
26,836,HYDROXYUREA ,500MG ,CAPSULE   ,ORAL,CAP,0.19609100000000002,0.343159,100.0,3083050,Yes,N,2017,2
27,5175,ENTECAVIR   ,0.5MG ,TABLET,ORAL,TAB,15.972567000000002,27.951991999999997,30.0,3161112,Yes,N,2017,2
28,5175,ENTECAVIR   ,0.5MG ,TABLET,ORAL,TAB,15.972567000000002,27.951991999999997,90.0,3161113,Yes,N,2017,2
29,5176,ENTECAVIR   ,1MG   ,TABLET,ORAL,TAB,11.451882000000001,20.040794,30.0,3161212,Yes,N,2017,2
30,2333,PRAVASTATIN SODIUM  ,20MG  ,TABLET,ORAL,TAB,0.079198,0.16834000000000002,90.0,3517805,Yes,Y,2017,2
31,2334,PRAVASTATIN SODIUM  ,40MG  ,TABLET,ORAL,TAB,0.09764500000000001,0.22978,90.0,3519410,Yes,Y,2017,2
32,2479,PRAVASTATIN SODIUM  ,80MG  ,TABLET,ORAL,TAB,0.150528,0.33425,90.0,3519510,Yes,Y,2017,2
33,3994,VALGANCICLOVIR HYDROCHLORIDE    ,450MG ,TABLET,ORAL,TAB,19.057067,33.349866999999996,60.0,4003822,Yes,N,2017,2
34,350,CLONAZEPAM  ,1MG   ,TABLET,ORAL,TAB,0.023451,0.041039,100.0,4005801,Yes,N,2017,2
35,350,CLONAZEPAM  ,1MG   ,TABLET,ORAL,TAB,0.023451,0.041039,10000.0,4005832,Yes,N,2017,2
36,349,CLONAZEPAM  ,0.5MG ,TABLET,ORAL,TAB,0.017488,0.030604000000000003,100.0,4006801,Yes,N,2017,2
37,349,CLONAZEPAM  ,0.5MG ,TABLET,ORAL,TAB,0.017488,0.030604000000000003,10000.0,4006832,Yes,N,2017,2
38,2299,RIBAVIRIN   ,200MG ,TABLET,ORAL,TAB,0.35532600000000003,0.6754399999999999,168.0,4008694,Yes,Y,2017,2
39,351,CLONAZEPAM  ,2MG   ,TABLET,ORAL,TAB,0.032066000000000004,0.056116,100.0,4009801,Yes,N,2017,2
40,8570,IBANDRONATE SODIUM  ,150MG ,TABLET,ORAL,TAB,6.857879,13.64194,3.0,4018682,Yes,Y,2017,2
41,8570,IBANDRONATE SODIUM  ,150MG ,TABLET,ORAL,TAB,6.857879,13.64194,3.0,4018683,Yes,Y,2017,2
42,2772,MYCOPHENOLATE MOFETIL   ,250MG ,CAPSULE   ,ORAL,CAP,0.442795,0.774891,100.0,4025901,Yes,N,2017,2
43,2772,MYCOPHENOLATE MOFETIL   ,250MG ,CAPSULE   ,ORAL,CAP,0.442795,0.774891,500.0,4025943,Yes,N,2017,2
44,2773,MYCOPHENOLATE MOFETIL   ,500MG ,TABLET,ORAL,TAB,0.7719560000000001,1.3509229999999999,100.0,4026001,Yes,N,2017,2
45,2773,MYCOPHENOLATE MOFETIL   ,500MG ,TABLET,ORAL,TAB,0.7719560000000001,1.3509229999999999,500.0,4026043,Yes,N,2017,2
46,6418,CAPECITABINE,500 MG,TABLET,ORAL,TAB,10.752505000000001,18.816883999999998,120.0,4110150,Yes,N,2017,2
47,1122,NAPROXEN SODIUM     ,500MG ,TABLET,ORAL,TAB,0.782503,1.5919,100.0,4620301,Yes,Y,2017,2
48,1119,NAPROXEN,500MG ,TABLET,ORAL,TAB,0.048218000000000004,0.084382,100.0,4631601,Yes,N,2017,2
49,953,LISINOPRIL  ,5MG   ,TABLET,ORAL,TAB,0.013799,0.024148,90.0,6001954,Yes,N,2017,2
50,2684,ALENDRONATE SODIUM  ,70MG  ,TABLET,ORAL,TAB,0.47922,0.838635,4.0,6003144,Yes,N,2017,2
51,2360,FINASTERIDE ,1MG   ,TABLET,ORAL,TAB,0.236762,0.41433400000000004,30.0,6007131,Yes,N,2017,2
52,2360,FINASTERIDE ,1MG   ,TABLET,ORAL,TAB,0.236762,0.41433400000000004,90.0,6007154,Yes,N,2017,2
53,2346,FINASTERIDE ,5MG   ,TABLET,ORAL,TAB,0.056616999999999994,0.12429000000000001,30.0,6007231,Yes,Y,2017,2
54,2346,FINASTERIDE ,5MG   ,TABLET,ORAL,TAB,0.056616999999999994,0.12429000000000001,100.0,6007258,Yes,Y,2017,2
55,949,LISINOPRIL  ,10MG  ,TABLET,ORAL,TAB,0.015815,0.027676,90.0,6010654,Yes,N,2017,2
56,951,LISINOPRIL  ,20MG  ,TABLET,ORAL,TAB,0.026239,0.045918,90.0,6020754,Yes,N,2017,2
57,9407,RIZATRIPTAN BENZOATE,5MG   ,TABLET,ORAL,TAB,0.651488,1.140104,18.0,6026618,Yes,N,2017,2
58,9405,RIZATRIPTAN BENZOATE,10MG  ,TABLET,ORAL,TAB,1.163489,2.036106,18.0,6026718,Yes,N,2017,2
59,2350,SIMVASTATIN ,80MG  ,TABLET,ORAL,TAB,0.049312,0.086296,30.0,6054331,Yes,N,2017,2
60,2350,SIMVASTATIN ,80MG  ,TABLET,ORAL,TAB,0.049312,0.086296,90.0,6054354,Yes,N,2017,2
61,4218,LOSARTAN/HYDROCHLOROTHIAZIDE    ,50-12.5MG ,TABLET,ORAL,TAB,0.053257000000000006,0.0932,30.0,6071731,Yes,N,2017,2
62,4218,LOSARTAN/HYDROCHLOROTHIAZIDE    ,50-12.5MG ,TABLET,ORAL,TAB,0.053257000000000006,0.0932,90.0,6071754,Yes,N,2017,2
63,2347,SIMVASTATIN ,5MG   ,TABLET,ORAL,TAB,0.013802000000000002,0.05126,30.0,6072631,Yes,Y,2017,2
64,2348,SIMVASTATIN ,10MG  ,TABLET,ORAL,TAB,0.017349,0.030361000000000003,30.0,6073531,Yes,N,2017,2
65,2348,SIMVASTATIN ,10MG  ,TABLET,ORAL,TAB,0.017349,0.030361000000000003,90.0,6073554,Yes,N,2017,2
66,2349,SIMVASTATIN ,20MG  ,TABLET,ORAL,TAB,0.020796000000000002,0.036393,30.0,6074031,Yes,N,2017,2
67,2349,SIMVASTATIN ,20MG  ,TABLET,ORAL,TAB,0.020796000000000002,0.036393,90.0,6074054,Yes,N,2017,2
68,5391,LOSARTAN/HYDROCHLOROTHIAZIDE    ,100-12.5MG,TABLET,ORAL,TAB,0.053282,0.09433,30.0,6074531,Yes,Y,2017,2
69,5391,LOSARTAN/HYDROCHLOROTHIAZIDE    ,100-12.5MG,TABLET,ORAL,TAB,0.053282,0.09433,90.0,6074554,Yes,Y,2017,2
70,4219,LOSARTAN/HYDROCHLOROTHIAZIDE    ,100MG-25MG,TABLET,ORAL,TAB,0.05942000000000001,0.103985,30.0,6074731,Yes,N,2017,2
71,4219,LOSARTAN/HYDROCHLOROTHIAZIDE    ,100MG-25MG,TABLET,ORAL,TAB,0.05942000000000001,0.103985,90.0,6074754,Yes,N,2017,2
72,2351,SIMVASTATIN ,40MG  ,TABLET,ORAL,TAB,0.036364999999999995,0.063639,30.0,6074931,Yes,N,2017,2
73,2351,SIMVASTATIN ,40MG  ,TABLET,ORAL,TAB,0.036364999999999995,0.063639,90.0,6074954,Yes,N,2017,2
74,2987,LOSARTAN POTASSIUM  ,25MG  ,TABLET,ORAL,TAB,0.023662,0.04326,90.0,6095154,Yes,Y,2017,2
75,2988,LOSARTAN POTASSIUM  ,50MG  ,TABLET,ORAL,TAB,0.029275,0.05123099999999999,30.0,6095231,Yes,N,2017,2
76,2988,LOSARTAN POTASSIUM  ,50MG  ,TABLET,ORAL,TAB,0.029275,0.05123099999999999,90.0,6095254,Yes,N,2017,2
77,2986,LOSARTAN POTASSIUM  ,100MG ,TABLET,ORAL,TAB,0.038492,0.067361,30.0,6096031,Yes,N,2017,2
78,2986,LOSARTAN POTASSIUM  ,100MG ,TABLET,ORAL,TAB,0.038492,0.067361,90.0,6096054,Yes,N,2017,2
79,6735,MONTELUKAST SODIUM  ,4 MG  ,TAB CHEW  ,ORAL,TAB,0.083246,0.25004,30.0,6171131,Yes,Y,2017,2
80,2808,DORZOLAMIDE HYDROCHLORIDE ,2%    ,SOLUTION/DROPS    ,OPHTHALMIC,ML ,0.5206609999999999,1.15103,10.0,6351936,Yes,Y,2017,2
81,4658,RIZATRIPTAN BENZOATE,5 MG  ,TAB RAPDIS,ORAL,TAB,0.933193,1.6330879999999999,3.0,6380018,Yes,N,2017,2
82,4659,RIZATRIPTAN BENZOATE,10 MG ,TAB RAPDIS,ORAL,TAB,1.388103,2.42918,3.0,6380118,Yes,N,2017,2
83,4585,MONTELUKAST SODIUM  ,4 MG  ,GRAN PACK ,ORAL,EA ,0.72597,3.64799,30.0,6384130,Yes,Y,2017,2
84,237,CARBIDOPA; LEVODOPA ,10MG;100MG,TABLET,ORAL,TAB,0.11932100000000001,0.208812,100.0,6391568,Yes,N,2017,2
85,238,CARBIDOPA; LEVODOPA ,25MG;100MG,TABLET,ORAL,TAB,0.07724199999999999,0.135174,100.0,6391668,Yes,N,2017,2
86,239,CARBIDOPA; LEVODOPA ,25MG;250MG,TABLET,ORAL,TAB,0.097256,0.17678,100.0,6391768,Yes,Y,2017,2
87,1577,CARBIDOPA; LEVODOPA ,25MG;100MG,"TABLET, EXTENDED RELEASE      ",ORAL,TAB,0.097472,0.29585,100.0,6391868,Yes,Y,2017,2
88,1578,CARBIDOPA; LEVODOPA ,50MG;200MG,"TABLET, EXTENDED RELEASE      ",ORAL,TAB,0.12001099999999999,0.37742,100.0,6391968,Yes,Y,2017,2
89,7567,MONTELUKAST SODIUM  ,5 MG  ,TAB CHEW  ,ORAL,TAB,0.100237,0.18215,30.0,6927531,Yes,Y,2017,2
90,800,HYDROCHLOROTHIAZIDE; TRIAMTERENE,25MG;37.5MG ,CAPSULE   ,ORAL,CAP,0.095752,0.17057,100.0,7365022,Yes,Y,2017,2
91,800,HYDROCHLOROTHIAZIDE; TRIAMTERENE,25MG;37.5MG ,CAPSULE   ,ORAL,CAP,0.095752,0.17057,1000.0,7365030,Yes,Y,2017,2
92,2629,CARVEDILOL  ,3.125MG   ,TABLET,ORAL,TAB,0.01218,0.02912,100.0,7413920,Yes,Y,2017,2
93,2630,CARVEDILOL  ,6.25MG,TABLET,ORAL,TAB,0.014625999999999998,0.026330000000000003,100.0,7414020,Yes,Y,2017,2
94,2627,CARVEDILOL  ,12.5MG,TABLET,ORAL,TAB,0.017455000000000002,0.030545999999999997,100.0,7414120,Yes,N,2017,2
95,2628,CARVEDILOL  ,25MG  ,TABLET,ORAL,TAB,0.02477,0.043348000000000005,100.0,7414220,Yes,N,2017,2
96,4288,ROPINIROLE HYDROCHLORIDE,12 MG ,TAB ER 24H,ORAL,TAB,1.7547009999999998,6.0588,30.0,7488213,Yes,Y,2017,2
97,4931,ROPINIROLE HYDROCHLORIDE,6 MG  ,TAB ER 24H,ORAL,TAB,1.0657510000000001,3.9846699999999995,30.0,7488313,Yes,Y,2017,2
98,8182,ROPINIROLE HYDROCHLORIDE,2 MG  ,TAB ER 24H,ORAL,TAB,0.44851599999999997,1.0434700000000001,30.0,7488513,Yes,Y,2017,2
99,8183,ROPINIROLE HYDROCHLORIDE,4 MG  ,TAB ER 24H,ORAL,TAB,0.966901,2.14425,30.0,7488713,Yes,Y,2017,2
100,8183,ROPINIROLE HYDROCHLORIDE,4 MG  ,TAB ER 24H,ORAL,TAB,0.966901,2.14425,90.0,7488759,Yes,Y,2017,2
101,8184,ROPINIROLE HYDROCHLORIDE,8 MG  ,TAB ER 24H,ORAL,TAB,2.457952,4.301416000000001,30.0,7488813,Yes,N,2017,2
102,2738,ROPINIROLE HYDROCHLORIDE,0.25MG,TABLET,ORAL,TAB,0.042312999999999996,0.09952000000000001,100.0,7489020,Yes,Y,2017,2
103,2739,ROPINIROLE HYDROCHLORIDE,0.5MG ,TABLET,ORAL,TAB,0.051938,0.090892,100.0,7489120,Yes,N,2017,2
104,2740,ROPINIROLE HYDROCHLORIDE,1MG   ,TABLET,ORAL,TAB,0.060216,0.105378,100.0,7489220,Yes,N,2017,2
105,2741,ROPINIROLE HYDROCHLORIDE,2MG   ,TABLET,ORAL,TAB,0.092342,0.161599,100.0,7489320,Yes,N,2017,2
106,2744,ROPINIROLE HYDROCHLORIDE,5MG   ,TABLET,ORAL,TAB,0.14990699999999998,0.262337,100.0,7489420,Yes,N,2017,2
107,2742,ROPINIROLE HYDROCHLORIDE,3MG   ,TABLET,ORAL,TAB,0.149868,0.26226900000000003,100.0,7489520,Yes,N,2017,2
108,2743,ROPINIROLE HYDROCHLORIDE,4MG   ,TABLET,ORAL,TAB,0.134366,0.235141,100.0,7489620,Yes,N,2017,2
109,2513,PANTOPRAZOLE SODIUM ,20MG  ,"TABLET, DELAYED RELEASE       ",ORAL,TAB,0.052299,0.09819,90.0,8060601,Yes,Y,2017,2
110,2514,PANTOPRAZOLE SODIUM ,40MG  ,"TABLET, DELAYED RELEASE       ",ORAL,TAB,0.071388,0.124929,90.0,8060701,Yes,N,2017,2
111,3040,VENLAFAXINE HYDROCHLORIDE ,75MG  ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.166934,0.292135,100.0,8083303,Yes,N,2017,2
112,3040,VENLAFAXINE HYDROCHLORIDE ,75MG  ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.166934,0.292135,15.0,8083320,Yes,N,2017,2
113,3040,VENLAFAXINE HYDROCHLORIDE ,75MG  ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.166934,0.292135,30.0,8083321,Yes,N,2017,2
114,3040,VENLAFAXINE HYDROCHLORIDE ,75MG  ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.166934,0.292135,90.0,8083322,Yes,N,2017,2
115,3038,VENLAFAXINE HYDROCHLORIDE ,150MG ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.18803699999999998,0.329065,1.0,8083602,Yes,N,2017,2
116,3038,VENLAFAXINE HYDROCHLORIDE ,150MG ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.18803699999999998,0.329065,100.0,8083603,Yes,N,2017,2
117,3038,VENLAFAXINE HYDROCHLORIDE ,150MG ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.18803699999999998,0.329065,15.0,8083620,Yes,N,2017,2
118,3038,VENLAFAXINE HYDROCHLORIDE ,150MG ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.18803699999999998,0.329065,30.0,8083621,Yes,N,2017,2
119,3038,VENLAFAXINE HYDROCHLORIDE ,150MG ,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.18803699999999998,0.329065,90.0,8083622,Yes,N,2017,2
120,3039,VENLAFAXINE HYDROCHLORIDE ,37.5MG,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.119797,0.20964499999999997,100.0,8083702,Yes,N,2017,2
121,3039,VENLAFAXINE HYDROCHLORIDE ,37.5MG,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.119797,0.20964499999999997,100.0,8083703,Yes,N,2017,2
122,3039,VENLAFAXINE HYDROCHLORIDE ,37.5MG,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.119797,0.20964499999999997,15.0,8083720,Yes,N,2017,2
123,3039,VENLAFAXINE HYDROCHLORIDE ,37.5MG,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.119797,0.20964499999999997,30.0,8083721,Yes,N,2017,2
124,3039,VENLAFAXINE HYDROCHLORIDE ,37.5MG,"CAPSULE, EXTENDED RELEASE     ",ORAL,CAP,0.119797,0.20964499999999997,90.0,8083722,Yes,N,2017,2
125,2514,PANTOPRAZOLE SODIUM ,40MG  ,"TABLET, DELAYED RELEASE       ",ORAL,TAB,0.071388,0.124929,90.0,8084181,Yes,N,2017,2
126,2513,PANTOPRAZOLE SODIUM ,20MG  ,"TABLET, DELAYED RELEASE       ",ORAL,TAB,0.052299,0.09819,90.0,8084381,Yes,Y,2017,2
127,5955,SIROLIMUS   ,0.5MG ,TABLET,ORAL,TAB,4.185269,7.3242210000000005,100.0,8104005,Yes,N,2017,2
128,5955,SIROLIMUS   ,0.5MG ,TABLET,ORAL,TAB,4.185269,7.3242210000000005,100.0,8104010,Yes,N,2017,2
129,4064,SIROLIMUS   ,1MG   ,TABLET,ORAL,TAB,6.707427,11.737997,100.0,8104105,Yes,N,2017,2
130,4064,SIROLIMUS   ,1MG   ,TABLET,ORAL,TAB,6.707427,11.737997,100.0,8104110,Yes,N,2017,2
131,81,AMIODARONE HYDROCHLORIDE,200MG ,TABLET,ORAL,TAB,0.143447,0.25103200000000003,60.0,8418804,Yes,N,2017,2
132,2461,HYDROCORTISONE,5MG   ,TABLET,ORAL,TAB,0.059076,0.21613000000000002,50.0,9001201,No,Y,2017,2
133,60,ALPRAZOLAM  ,0.25MG,TABLET,ORAL,TAB,0.021047,0.036832,100.0,9002901,Yes,N,2017,2
134,60,ALPRAZOLAM  ,0.25MG,TABLET,ORAL,TAB,0.021047,0.036832,500.0,9002902,Yes,N,2017,2
135,2460,HYDROCORTISONE,10MG  ,TABLET,ORAL,TAB,0.095714,0.31638,100.0,9003101,No,Y,2017,2
136,816,HYDROCORTISONE,20MG  ,TABLET,ORAL,TAB,0.16180999999999998,0.56984,100.0,9004401,No,Y,2017,2
137,61,ALPRAZOLAM  ,0.5MG ,TABLET,ORAL,TAB,0.02179,0.038133,100.0,9005501,Yes,N,2017,2
138,61,ALPRAZOLAM  ,0.5MG ,TABLET,ORAL,TAB,0.02179,0.038133,500.0,9005503,Yes,N,2017,2
139,1049,METHYLPREDNISOLONE  ,4MG   ,TABLET,ORAL,TAB,0.155558,0.74531,100.0,9005602,Yes,Y,2017,2
140,3371,METHYLPREDNISOLONE  ,4 MG  ,TAB DS PK ,ORAL,TAB,0.164551,0.44301,21.0,9005604,Yes,Y,2017,2
141,3245,ALPRAZOLAM  ,0.5 MG,TAB ER 24H,ORAL,TAB,0.152934,0.3203,60.0,9005707,Yes,Y,2017,2
142,3246,ALPRAZOLAM  ,1 MG  ,TAB ER 24H,ORAL,TAB,0.18573699999999999,0.42525,60.0,9005907,Yes,Y,2017,2
143,3247,ALPRAZOLAM  ,2 MG  ,TAB ER 24H,ORAL,TAB,0.152794,0.49391999999999997,60.0,9006607,Yes,Y,2017,2
144,2301,ALPRAZOLAM  ,3MG   ,"TABLET, EXTENDED RELEASE      ",ORAL,TAB,0.21147600000000003,0.63926,60.0,9006807,Yes,Y,2017,2
145,62,ALPRAZOLAM  ,1MG   ,TABLET,ORAL,TAB,0.029954,0.05242,100.0,9009001,Yes,N,2017,2
146,62,ALPRAZOLAM  ,1MG   ,TABLET,ORAL,TAB,0.029954,0.05242,500.0,9009004,Yes,N,2017,2
147,63,ALPRAZOLAM  ,2MG   ,TABLET,ORAL,TAB,0.054060000000000004,0.094605,100.0,9009401,Yes,N,2017,2
148,332,CLINDAMYCIN HYDROCHLORIDE ,150MG ,CAPSULE   ,ORAL,CAP,0.06381,0.1162,100.0,9022502,Yes,Y,2017,2
149,730,GLYBURIDE   ,3MG   ,TABLET,ORAL,TAB,0.016977000000000003,0.09212999999999999,100.0,9035201,No,Y,2017,2
150,1719,CLINDAMYCIN HYDROCHLORIDE ,300MG ,CAPSULE   ,ORAL,CAP,0.162948,0.285159,100.0,9039514,Yes,N,2017,2
151,3027,CLINDAMYCIN PALMITATE HYDROCHLORIDE ,75MG/5ML  ,FOR SOLUTION,ORAL,ML ,0.149584,0.34811,100.0,9076004,Yes,Y,2017,2
152,335,CLINDAMYCIN PHOSPHATE   ,1%    ,SWAB  ,TOPICAL ,ML ,0.283134,0.495485,60.0,9311614,Yes,N,2017,2
153,2146,CLINDAMYCIN PHOSPHATE   ,2%    ,CREAM ,VAGINAL ,GM ,0.9095979999999999,1.96928,40.0,9344801,Yes,Y,2017,2
154,733,GLYBURIDE   ,6MG   ,TABLET,ORAL,TAB,0.030212,0.18985,100.0,9344901,No,Y,2017,2
155,733,GLYBURIDE   ,6MG   ,TABLET,ORAL,TAB,0.030212,0.18985,500.0,9344903,No,Y,2017,2
156,8935,TOLTERODINE TARTRATE,1MG   ,TABLET,ORAL,TAB,0.48602399999999996,1.2073,140.0,9454101,Yes,Y,2017,2
157,8935,TOLTERODINE TARTRATE,1MG   ,TABLET,ORAL,TAB,0.48602399999999996,1.2073,60.0,9454102,Yes,Y,2017,2
158,8935,TOLTERODINE TARTRATE,1MG   ,TABLET,ORAL,TAB,0.48602399999999996,1.2073,500.0,9454103,Yes,Y,2017,2
159,8936,TOLTERODINE TARTRATE,2MG   ,TABLET,ORAL,TAB,0.49809799999999993,1.21551,140.0,9454401,Yes,Y,2017,2
160,8936,TOLTERODINE TARTRATE,2MG   ,TABLET,ORAL,TAB,0.49809799999999993,1.21551,60.0,9454402,Yes,Y,2017,2
161,8936,TOLTERODINE TARTRATE,2MG   ,TABLET,ORAL,TAB,0.49809799999999993,1.21551,500.0,9454403,Yes,Y,2017,2
162,5592,LINEZOLID   ,600MG ,TABLET,ORAL,TAB,16.240134,28.420234999999998,20.0,9513502,Yes,N,2017,2
163,5592,LINEZOLID   ,600MG ,TABLET,ORAL,TAB,16.240134,28.420234999999998,30.0,9513503,Yes,N,2017,2
164,5592,LINEZOLID   ,600MG ,TABLET,ORAL,TAB,16.240134,28.420234999999998,20.0,9513802,Yes,N,2017,2
165,5592,LINEZOLID   ,600MG ,TABLET,ORAL,TAB,16.240134,28.420234999999998,30.0,9513803,Yes,N,2017,2
166,3931,TOLTERODINE TARTRATE,2 MG  ,CAP ER 24H,ORAL,CAP,1.93002,3.99885,30.0,9519001,Yes,Y,2017,2
167,3931,TOLTERODINE TARTRATE,2 MG  ,CAP ER 24H,ORAL,CAP,1.93002,3.99885,90.0,9519002,Yes,Y,2017,2
168,3931,TOLTERODINE TARTRATE,2 MG  ,CAP ER 24H,ORAL,CAP,1.93002,3.99885,500.0,9519003,Yes,Y,2017,2
169,3931,TOLTERODINE TARTRATE,2 MG  ,CAP ER 24H,ORAL,CAP,1.93002,3.99885,100.0,9519004,Yes,Y,2017,2
170,3930,TOLTERODINE TARTRATE,4 MG  ,CAP ER 24H,ORAL,CAP,1.0200930000000001,3.36584,30.0,9519101,Yes,Y,2017,2
171,3930,TOLTERODINE TARTRATE,4 MG  ,CAP ER 24H,ORAL,CAP,1.0200930000000001,3.36584,90.0,9519102,Yes,Y,2017,2
172,3930,TOLTERODINE TARTRATE,4 MG  ,CAP ER 24H,ORAL,CAP,1.0200930000000001,3.36584,500.0,9519103,Yes,Y,2017,2
173,3930,TOLTERODINE TARTRATE,4 MG  ,CAP ER 24H,ORAL,CAP,1.0200930000000001,3.36584,100.0,9519104,Yes,Y,2017,2
174,3138,EXEMESTANE  ,25MG  ,TABLET,ORAL,TAB,2.456152,5.93741,30.0,9766304,Yes,Y,2017,2
175,1385,SULFASALAZINE ,500MG ,TABLET,ORAL,TAB,0.116753,0.204318,100.0,13010101,Yes,N,2017,2
176,1385,SULFASALAZINE ,500MG ,TABLET,ORAL,TAB,0.116753,0.204318,300.0,13010120,Yes,N,2017,2
177,3139,LATANOPROST ,0.005%,SOLUTION/DROPS    ,OPHTHALMIC,ML ,1.945186,3.4040760000000003,2.5,13830301,Yes,N,2017,2
178,3139,LATANOPROST ,0.005%,SOLUTION/DROPS    ,OPHTHALMIC,ML ,1.945186,3.4040760000000003,2.5,13830304,Yes,N,2017,2
179,5985,GATIFLOXACIN,0.5 % ,DROPS ,OPHTHALMIC,ML ,9.702605,31.72222,2.5,23361525,Yes,Y,2017,2
